"SamplingSize","SobolSampleID","ntree","minbucket","MeanRowsError","SdRowsError"
104,1,15,6,1.54885402540389,0.821063548661207
104,2,16,3,1.49265780413322,0.847974947928659
104,3,10,10,1.99089203493623,0.75017901077097
104,4,8,5,1.54955381399329,0.886936272211471
104,5,18,9,1.77837654273508,0.718299428593
104,6,13,2,1.52906187820556,0.873272867134786
104,7,5,8,1.79317542586738,0.709146395246943
104,8,6,4,1.5330196254234,0.831229343744063
104,9,11,9,1.83042380488316,0.71628096389159
104,10,19,3,1.48814491309589,0.834184083960932
104,11,7,6,1.57493913502429,0.838250223596313
104,12,9,2,1.55218301504395,0.888151802461148
104,13,17,7,1.62337507840983,0.770481332386441
104,14,13,5,1.52025906335015,0.84473587347361
104,15,3,8,1.81251048669808,0.7487255316472
104,16,4,5,1.6312826492945,0.921338414156342
104,17,14,8,1.72824202933001,0.720792790618195
104,18,18,2,1.52019917192222,0.864912642516207
104,19,10,7,1.67561017641515,0.74968544722116
104,20,8,3,1.52937601155685,0.88288676550614
104,21,20,6,1.53666001283577,0.813292079618374
104,22,12,4,1.48754485347657,0.792833121243719
104,23,6,9,1.8684217046696,0.710692213362152
104,24,5,1,1.64054724174885,0.971622495398831
104,25,12,7,1.66050037864344,0.746558969963668
104,26,18,4,1.49177820408109,0.778579318575886
104,27,8,8,1.75596751719027,0.709316751902571
104,28,10,4,1.48941150701967,0.799050749835563
104,29,16,10,1.97805409583316,0.744716476055336
104,30,15,3,1.50304785908397,0.847283882364667
104,31,2,7,1.85270118805377,0.760603609851967
104,32,2,3,1.70723601496103,0.979658812190852
104,33,15,10,1.99486545628089,0.750570006399072
104,34,16,2,1.51988161041952,0.87909016561636
104,35,10,6,1.5656396621854,0.846359245697904
104,36,8,1,1.59766575213636,0.911999181895186
104,37,18,8,1.68372866368354,0.744271093700836
104,38,12,5,1.52083113134919,0.84887157512512
104,39,4,9,1.84930786783312,0.749985331598157
104,40,6,3,1.55384045430532,0.884749593994326
104,41,12,6,1.55132345292692,0.831373705116024
104,42,19,4,1.49117360279765,0.781431999692683
104,43,7,9,1.8484746253625,0.708384496274842
104,44,9,5,1.548446054695,0.870416067441657
104,45,17,8,1.69407987948202,0.740599419483991
104,46,14,2,1.53093388497756,0.879798575510329
104,47,4,7,1.73371373677657,0.744532401076472
104,48,3,2,1.76369640276048,0.998985050669731
104,49,14,7,1.6426914439242,0.766189413778982
104,50,17,5,1.51966510102895,0.849042385505261
104,51,9,8,1.7286337393311,0.717459217197999
104,52,7,4,1.51373958474559,0.827653404441373
104,53,19,9,1.7741703939087,0.714646368481622
104,54,11,3,1.51850144093581,0.870987336774333
104,55,6,6,1.59551932675175,0.849365034383925
104,56,5,5,1.58700013711725,0.914788626991394
104,57,13,8,1.73124379912583,0.719160097669734
104,58,19,1,1.55069327087801,0.855529182322928
104,59,9,7,1.68274808991225,0.756235160603172
104,60,11,2,1.53277116880318,0.861478721953774
104,61,17,6,1.54651761773404,0.817271080340962
104,62,15,4,1.49755352731976,0.779258991075582
104,63,3,10,2.10112592467429,0.756111733267314
104,64,3,5,1.68292868241972,0.926195969711829
104,65,15,9,1.79744715201202,0.710825160304225
104,66,16,1,1.54895276250147,0.865712191971008
104,67,11,7,1.66939347253729,0.758059782969568
104,68,9,2,1.55218301504395,0.888151802461148
104,69,19,6,1.53354557481218,0.812399291055722
104,70,13,3,1.51654013800392,0.853345180391215
104,71,5,10,2.00800370906617,0.715964833025255
104,72,6,2,1.6300033209167,0.922190802198892
104,73,12,7,1.66050037864344,0.746558969963668
104,74,19,5,1.51967085414238,0.85328981150203
104,75,7,8,1.76616295336322,0.708885183531274
104,76,9,4,1.5119910999488,0.79842639431648
104,77,17,9,1.79141587412839,0.710431543765698
104,78,14,3,1.51057658410036,0.862582353834847
104,79,4,6,1.6212948838112,0.888622846159547
104,80,4,3,1.5914954114939,0.910114666501291
104,81,14,6,1.54716053129172,0.818024785702037
104,82,17,4,1.49284695700851,0.776795768387943
104,83,10,9,1.84625616610459,0.709475877867188
104,84,7,5,1.55547855048795,0.88947741005874
104,85,20,8,1.67477392017356,0.745491791967563
104,86,12,2,1.54511122799395,0.87674945018151
104,87,6,7,1.69688942345013,0.7518667462212
104,88,4,4,1.62222436215033,0.849381918125208
104,89,12,10,1.97695116279468,0.744280752610147
104,90,18,3,1.48567210045524,0.843631850076184
104,91,8,6,1.5832781213118,0.83179202757038
104,92,10,1,1.56264663468425,0.87139815172521
